date,bitcoin,isPartial
2021-05-14,56,False
2021-05-13,92,False
2021-05-12,38,False
2021-05-11,36,False
2021-05-10,37,False
2021-05-09,36,False
2021-05-08,35,False
2021-05-07,35,False
2021-05-06,39,False
2021-05-05,37,False
2021-05-04,39,False
2021-05-03,36,False
2021-05-02,32,False
2021-05-01,37,False
2021-04-30,37,False
2021-04-29,36,False
2021-04-28,40,False
2021-04-27,46,False
2021-04-26,47,False
2021-04-25,47,False
2021-04-24,53,False
2021-04-23,74,False
2021-04-22,46,False
2021-04-21,41,False
2021-04-20,51,False
2021-04-19,55,False
2021-04-18,72,False
2021-04-17,41,False
2021-04-16,48,False
2021-04-15,44,False
2021-04-14,51,False
2021-04-13,48,False
2021-04-12,35,False
2021-04-11,35,False
2021-04-10,36,False
2021-04-09,31,False
2021-04-08,32,False
2021-04-07,35,False
2021-04-06,35,False
2021-04-05,34,False
2021-04-04,34,False
2021-04-03,35,False
2021-04-02,38,False
2021-04-01,43,False
2021-03-31,39,False
2021-03-30,40,False
2021-03-29,37,False
2021-03-28,33,False
2021-03-27,34,False
2021-03-26,37,False
2021-03-25,47,False
2021-03-24,43,False
2021-03-23,39,False
2021-03-22,39,False
2021-03-21,35,False
2021-03-20,36,False
2021-03-19,38,False
2021-03-18,43,False
2021-03-17,42,False
2021-03-16,43,False
2021-03-15,47,False
2021-03-14,56,False
2021-03-13,54,False
2021-03-12,41,False
2021-03-11,44,False
2021-03-10,45,False
2021-03-09,46,False
2021-03-08,39,False
2021-03-07,38,False
2021-03-06,35,False
2021-03-05,40,False
2021-03-04,42,False
2021-03-03,43,False
2021-03-02,46,False
2021-03-01,50,False
2021-02-28,52,False
2021-02-27,47,False
2021-02-26,58,False
2021-02-25,55,False
2021-02-24,72,False
2021-02-23,94,False
2021-02-22,78,False
2021-02-21,67,False
2021-02-20,75,False
2021-02-19,66,False
2021-02-18,63,False
2021-02-17,67,False
2021-02-16,59,False
2021-02-15,51,False
2021-02-14,52,False
2021-02-13,48,False
2021-02-12,57,False
2021-02-11,60,False
2021-02-10,66,False
2021-02-09,95,False
2021-02-08,81,False
2021-02-07,38,False
2021-02-06,42,False
2021-02-05,35,False
2021-02-04,39,False
2021-02-03,36,False
2021-02-02,35,False
2021-02-01,36,False
2021-01-31,36,False
2021-01-30,44,False
2021-01-29,63,False
2021-01-28,39,False
2021-01-27,39,False
2021-01-26,35,False
2021-01-25,38,False
2021-01-24,36,False
2021-01-23,39,False
2021-01-22,54,False
2021-01-21,50,False
2021-01-20,40,False
2021-01-19,41,False
2021-01-18,42,False
2021-01-17,44,False
2021-01-16,48,False
2021-01-15,58,False
2021-01-14,66,False
2021-01-13,66,False
2021-01-12,76,False
2021-01-11,100,False
2021-01-10,65,False
2021-01-09,65,False
2021-01-08,86,False
2021-01-07,88,False
2021-01-06,61,False
2021-01-05,54,False
2021-01-04,67,False
2021-01-03,76,False
2021-01-02,67,False
2021-01-01,37,False
2020-12-06,65,False
2020-11-29,83,False
2020-11-22,100,False
2020-11-15,87,False
2020-11-08,63,False
2020-11-01,60,False
2020-10-25,57,False
2020-10-18,52,False
2020-10-11,37,False
2020-10-04,35,False
2020-09-27,35,False
2020-09-20,38,False
2020-09-13,39,False
2020-09-06,43,False
2020-08-30,46,False
2020-08-23,44,False
2020-08-16,53,False
2020-08-09,54,False
2020-08-02,60,False
2020-07-26,67,False
2020-07-19,41,False
2020-07-12,46,False
2020-07-05,38,False
2020-06-28,40,False
2020-06-21,39,False
2020-06-14,44,False
2020-06-07,46,False
2020-05-31,50,False
2020-05-24,50,False
2020-05-17,56,False
2020-05-10,85,False
2020-05-03,71,False
2020-04-26,62,False
2020-04-19,50,False
2020-04-12,50,False
2020-04-05,53,False
2020-03-29,51,False
2020-03-22,60,False
2020-03-15,77,False
2020-03-08,77,False
2020-03-01,42,False
2020-02-23,45,False
2020-02-16,45,False
2020-02-09,50,False
2020-02-02,44,False
2020-01-26,41,False
2020-01-19,39,False
2020-01-12,45,False
2020-01-05,44,False
2019-12-08,31,False
2019-12-01,32,False
2019-11-24,38,False
2019-11-17,37,False
2019-11-10,32,False
2019-11-03,35,False
2019-10-27,41,False
2019-10-20,41,False
2019-10-13,32,False
2019-10-06,36,False
2019-09-29,38,False
2019-09-22,46,False
2019-09-15,34,False
2019-09-08,35,False
2019-09-01,42,False
2019-08-25,43,False
2019-08-18,44,False
2019-08-11,49,False
2019-08-04,55,False
2019-07-28,47,False
2019-07-21,50,False
2019-07-14,59,False
2019-07-07,59,False
2019-06-30,66,False
2019-06-23,100,False
2019-06-16,64,False
2019-06-09,42,False
2019-06-02,46,False
2019-05-26,54,False
2019-05-19,51,False
2019-05-12,73,False
2019-05-05,44,False
2019-04-28,32,False
2019-04-21,36,False
2019-04-14,33,False
2019-04-07,38,False
2019-03-31,46,False
2019-03-24,27,False
2019-03-17,28,False
2019-03-10,26,False
2019-03-03,28,False
2019-02-24,30,False
2019-02-17,32,False
2019-02-10,27,False
2019-02-03,31,False
2019-01-27,28,False
2019-01-20,27,False
2019-01-13,30,False
2019-01-06,33,False
2018-12-09,19,False
2018-12-02,20,False
2018-11-25,24,False
2018-11-18,24,False
2018-11-11,18,False
2018-11-04,14,False
2018-10-28,13,False
2018-10-21,13,False
2018-10-14,15,False
2018-10-07,15,False
2018-09-30,13,False
2018-09-23,15,False
2018-09-16,16,False
2018-09-09,17,False
2018-09-02,19,False
2018-08-26,17,False
2018-08-19,17,False
2018-08-12,19,False
2018-08-05,19,False
2018-07-29,18,False
2018-07-22,21,False
2018-07-15,19,False
2018-07-08,16,False
2018-07-01,17,False
2018-06-24,19,False
2018-06-17,18,False
2018-06-10,22,False
2018-06-03,16,False
2018-05-27,18,False
2018-05-20,20,False
2018-05-13,20,False
2018-05-06,22,False
2018-04-29,22,False
2018-04-22,25,False
2018-04-15,24,False
2018-04-08,28,False
2018-04-01,29,False
2018-03-25,31,False
2018-03-18,31,False
2018-03-11,34,False
2018-03-04,33,False
2018-02-25,33,False
2018-02-18,42,False
2018-02-11,48,False
2018-02-04,80,False
2018-01-28,70,False
2018-01-21,65,False
2018-01-14,100,False
2018-01-07,81,False
2017-12-10,94,False
2017-12-03,100,False
2017-11-26,70,False
2017-11-19,30,False
2017-11-12,34,False
2017-11-05,30,False
2017-10-29,30,False
2017-10-22,22,False
2017-10-15,22,False
2017-10-08,20,False
2017-10-01,13,False
2017-09-24,14,False
2017-09-17,17,False
2017-09-10,22,False
2017-09-03,19,False
2017-08-27,19,False
2017-08-20,17,False
2017-08-13,21,False
2017-08-06,16,False
2017-07-30,16,False
2017-07-23,12,False
2017-07-16,13,False
2017-07-09,11,False
2017-07-02,10,False
2017-06-25,12,False
2017-06-18,12,False
2017-06-11,15,False
2017-06-04,13,False
2017-05-28,13,False
2017-05-21,20,False
2017-05-14,12,False
2017-05-07,10,False
2017-04-30,8,False
2017-04-23,5,False
2017-04-16,5,False
2017-04-09,5,False
2017-04-02,5,False
2017-03-26,5,False
2017-03-19,6,False
2017-03-12,6,False
2017-03-05,7,False
2017-02-26,7,False
2017-02-19,5,False
2017-02-12,4,False
2017-02-05,5,False
2017-01-29,4,False
2017-01-22,4,False
2017-01-15,5,False
2017-01-08,6,False
2017-01-01,8,False
